LocationIdentifier,TimeSeriesType,ParameterId,Label,UnitId,InterpolationType,UtcOffset,GapToleranceInMinutes,Description,Comment,Publish,Method,ComputationIdentifier,ComputationPeriodIdentifier,SubLocationIdentifier
783,Reflected,SWE,Daily,in,InstantaneousValues,-08:00,1440,,,,,,Daily,
783,Reflected,PC,Daily,in,InstantaneousValues,-08:00,1440,,,,,,Daily,
783,Reflected,TA,Daily Maximum,degF,InstantaneousValues,-08:00,1440,,,,,Max,Daily,
783,Reflected,TA,Daily Minimum,degF,InstantaneousValues,-08:00,1440,,,,,Min,Daily,
783,Reflected,TA,Daily Average,degF,InstantaneousValues,-08:00,1440,,,,,Mean,Daily,
783,Reflected,PP,Daily,in,PrecedingTotals,-08:00,1440,,,,,,Daily,
646,Reflected,SWE,Daily,in,InstantaneousValues,-08:00,1440,,,,,,Daily,
646,Reflected,PC,Daily,in,InstantaneousValues,-08:00,1440,,,,,,Daily,
646,Reflected,TA,Daily Maximum,degF,InstantaneousValues,-08:00,1440,,,,,Max,Daily,
646,Reflected,TA,Daily Minimum,degF,InstantaneousValues,-08:00,1440,,,,,Min,Daily,
646,Reflected,TA,Daily Average,degF,InstantaneousValues,-08:00,1440,,,,,Mean,Daily,
646,Reflected,PP,Daily,in,PrecedingTotals,-08:00,1440,,,,,,Daily,
667,Reflected,SWE,Daily,in,InstantaneousValues,-08:00,1440,,,,,,Daily,
667,Reflected,PC,Daily,in,InstantaneousValues,-08:00,1440,,,,,,Daily,
667,Reflected,TA,Daily Maximum,degF,InstantaneousValues,-08:00,1440,,,,,Max,Daily,
667,Reflected,TA,Daily Minimum,degF,InstantaneousValues,-08:00,1440,,,,,Min,Daily,
667,Reflected,TA,Daily Average,degF,InstantaneousValues,-08:00,1440,,,,,Mean,Daily,
667,Reflected,PP,Daily,in,PrecedingTotals,-08:00,1440,,,,,,Daily,
SIGM,Reflected,TA,Daily Average,degF,InstantaneousValues,-07:00,1440,,,,,Mean,Daily,
SIGM,Reflected,PP,Daily,in,PrecedingTotals,-07:00,1440,,,,,,Daily,
RDBM ,Reflected,TA,Daily Average,degF,InstantaneousValues,-07:00,1440,,,,,Mean,Daily,
RDBM ,Reflected,PP,Daily,in,PrecedingTotals,-07:00,1440,,,,,,Daily,
MJET,Basic,TA,Daily Maximum,degF,InstantaneousValues,-07:00,1440,,,,,Max,Daily,
MJET,Basic,TA,Daily Minimum,degF,InstantaneousValues,-07:00,1440,,,,,Min,Daily,
MJET,Basic,TA,Daily Average,degF,InstantaneousValues,-07:00,1440,,,,,Mean,Daily,
MJET,Basic,PP,Daily,in,PrecedingTotals,-07:00,1440,,,,,,Daily,
MPIS,Basic,TA,Daily Maximum,degF,InstantaneousValues,-07:00,1440,,,,,Max,Daily,
MPIS,Basic,TA,Daily Minimum,degF,InstantaneousValues,-07:00,1440,,,,,Min,Daily,
MPIS,Basic,TA,Daily Average,degF,InstantaneousValues,-07:00,1440,,,,,Mean,Daily,
MPIS,Basic,PP,Daily,in,PrecedingTotals,-07:00,1440,,,,,,Daily,
MHOT,Basic,TA,Daily Maximum,degF,InstantaneousValues,-07:00,1440,,,,,Max,Daily,
MHOT,Basic,TA,Daily Minimum,degF,InstantaneousValues,-07:00,1440,,,,,Min,Daily,
MHOT,Basic,TA,Daily Average,degF,InstantaneousValues,-07:00,1440,,,,,Mean,Daily,
MHOT,Basic,PP,Daily,in,PrecedingTotals,-07:00,1440,,,,,,Daily,
